Time Window：2024-12-03 13:46:08 - 2024-12-03 13:47:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:46:38 - 2024-12-03 13:47:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:47:08 - 2024-12-03 13:48:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:47:38 - 2024-12-03 13:48:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:48:08 - 2024-12-03 13:49:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:48:38 - 2024-12-03 13:49:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:49:08 - 2024-12-03 13:50:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:49:38 - 2024-12-03 13:50:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:50:08 - 2024-12-03 13:51:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:50:38 - 2024-12-03 13:51:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:51:08 - 2024-12-03 13:52:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:51:38 - 2024-12-03 13:52:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:52:08 - 2024-12-03 13:53:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:52:38 - 2024-12-03 13:53:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:53:08 - 2024-12-03 13:54:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:53:38 - 2024-12-03 13:54:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:54:08 - 2024-12-03 13:55:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:54:38 - 2024-12-03 13:55:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:55:08 - 2024-12-03 13:56:08, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 13:55:38 - 2024-12-03 13:56:38, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
